"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1645021645022,31.6635745207174,37.9962894248608,44.3290043290043,49.3951762523191,48.7619047619047,50.6617192331478,56.9944341372913,58.8942486085343,59.5275200989486,63.0105132962276,66.1768707482993,68.3933209647495,68.3933209647495,72.82622139765,74.0927643784787,79.7922077922078,82.3252937538652,85.4916512059369,85.4916512059369,85.4916512059369,88.6580086580086,94.3574520717377,96.2572665429808,98.1570810142238,100.056895485467,100.056895485467,100.056895485467,100.056895485467,100.056895485467,100.056895485467,98.1570810142238,96.2572665429808,94.3574520717377,88.6580086580086,85.4916512059369,85.4916512059369,85.4916512059369,82.3252937538652,84.8583797155226,84.2251082251082,85.4916512059369,83.5918367346939,83.5918367346939,81.3753865182437,78.209029066172,74.726035868893,74.0927643784787,69.6598639455782,63.3271490414348,58.8942486085343,51.9282622139765,44.3290043290043,37.9962894248608,31.6635745207174,22.1645021645022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0839023172299,26.9180484847012,34.8351215684369,41.1687800354254,46.8690726557151,49.0858531191611,49.7192189658599,53.8360969694025,57.952974972945,61.4364871297887,62.386535899837,64.603316363283,63.9699505165841,68.4035114434761,70.6202919069221,73.4704382170669,76.9539503739106,81.0708283774531,83.920974687598,85.5043893043451,85.5043893043451,87.0878039210922,93.4214623880808,96.2716086982256,97.5383403916233,99.7551208550693,100.071803778419,100.071803778419,100.071803778419,100.071803778419,100.071803778419,98.4883891616715,96.9049745449244,94.371511158129,89.6212673078876,87.0878039210922,85.5043893043451,85.5043893043451,83.920974687598,83.6042917642485,84.5543405342968,84.8710234576463,84.5543405342969,83.6042917642486,86.7711209977429,79.8040966840555,75.0538528338141,71.5703406769704,71.8870236003198,66.5034139033795,61.1198042064393,55.4195115861496,48.1358043491128,41.1687800354254,34.8351215684369,26.9180484847012,11.0839023172299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0888584833562,26.9300848881508,34.8506980905481,41.187188652466,46.8900301581921,49.1078018548633,49.7414509110551,53.8601697763017,57.9788886415483,61.4639584506031,62.4144320348908,64.6322037315621,63.9985546753703,68.4340980687128,70.651869765384,73.503290518247,76.9883603273018,81.1070791925484,83.9584999454115,85.5426225858909,85.5426225858909,87.1267452263704,93.4632357882882,96.3146565411513,97.5819546535348,99.799726350206,100.116550878302,100.116550878302,100.116550878302,100.116550878302,100.116550878302,98.5324282378225,96.948305597343,94.4137093725759,89.6613414511375,87.1267452263704,85.5426225858909,85.5426225858909,83.9584999454115,83.6416754173156,84.5921490016033,84.9089735296992,84.5921490016033,83.6416754173156,86.8099206982745,79.8397810801649,75.0874131587265,71.6023433496717,71.9191678777676,66.5331509001374,61.1471339225072,55.4442924167812,48.1573282705756,41.187188652466,34.8506980905481,26.9300848881508,11.0888584833562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51182311984781,26.9501655062354,34.8766847727753,41.2179001860071,47.559115599239,49.144419452547,49.7785409938702,55.4856348657788,56.4368171777636,61.5097895083491,64.0462756736419,64.6803972149651,62.4609718203339,68.4851264629042,70.7045518575354,73.5580987934897,77.0457672707672,81.1675572893679,84.0211042253223,84.0211042253223,87.1917119319382,88.142894243923,92.2646842625237,97.6547173637708,98.288838905094,100.191203529064,100.508264299725,100.191203529063,100.191203529063,100.191203529063,99.8741427584019,98.2888389050939,96.3864742811244,93.2158665745084,87.8258334732614,86.2405296199534,87.1917119319382,84.0211042253223,84.0211042253223,83.7040434546607,84.6552257666455,84.9722865373071,84.6552257666455,83.7040434546607,85.2893473079687,79.8993142067216,76.7287065001057,71.6557341695202,70.3874910868738,68.1680656922426,61.1927287376875,55.4856348657789,47.559115599239,41.2179001860071,34.8766847727753,26.9501655062354,9.51182311984781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52176011778874,26.9783203337348,34.9131204318921,42.8479205300493,49.1957606085752,47.6088005889437,51.4175046360592,53.9566406674695,57.4479527106587,62.8436167774057,66.0175368166686,61.8914407656268,62.5262247734794,65.7001448127423,70.778416875563,73.6349449108996,77.1262569540888,81.2523530051306,84.1088810404672,84.1088810404672,87.2828010797301,89.1871531032879,92.6784651464771,98.7089132210766,99.0263052250029,100.295873240708,100.613265244634,100.295873240708,100.295873240708,100.295873240708,99.9784812367817,98.3915212171503,95.85238518574,92.3610731425508,87.6001930836564,85.3784490561723,87.2828010797301,84.1088810404672,84.1088810404672,83.7914890365409,84.7436650483198,85.0610570522461,84.7436650483198,88.5523690954353,85.3784490561724,82.2045290169095,73.6349449108996,70.4610248716367,66.3349288205949,66.6523208245212,62.8436167774057,53.9566406674695,49.1957606085752,42.8479205300493,34.9131204318921,26.9783203337348,9.52176011778874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53456171167995,27.0145915164265,36.5491532281064,41.3164340839464,46.0837149397864,47.6728085583997,51.4866332430717,54.029183032853,57.5251889938023,62.9281072970876,66.1062945343143,61.9746511259196,64.1993821919783,64.1993821919783,70.8735753901543,73.7339439036582,77.2299498646075,81.3615932730022,82.6328681678928,85.8110554051195,85.8110554051195,89.3070613660688,93.4387047744634,97.5703481828581,99.4772605251941,100.430716696362,101.38417286753,100.748535420085,100.430716696362,100.112897972639,99.477260525194,98.523804354026,95.6634358405221,90.5783362609594,87.0823303000101,85.4932366813968,85.8110554051195,85.8110554051195,82.6328681678928,83.9041430627835,84.8575992339515,85.1754179576742,84.8575992339515,87.0823303000102,87.0823303000102,82.3150494441702,73.7339439036583,70.5557566664316,66.424113258037,66.7419319817596,62.9281072970876,54.029183032853,46.0837149397864,41.3164340839464,36.5491532281064,27.0145915164265,9.53456171167995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55024711956018,28.6507413586805,35.0175727717207,41.3844041847608,46.1595277445409,47.7512355978009,53.163042298885,54.118067010841,59.2115321412731,61.4399231358372,66.2150466956173,62.0766062771412,63.6683141304012,64.3049972717052,70.9901702553974,73.8552443912654,77.3570016684375,80.8587589456095,82.7688083695216,85.9522240760416,86.5889072173456,89.7723229238657,93.5924217716898,97.7308621901659,100.595936326034,100.914277896686,101.55096103799,100.914277896686,100.595936326034,100.277594755382,99.6409116140778,98.3675453314698,94.8657880542978,90.7273476358217,87.2255903586496,85.3155409347376,85.3155409347376,85.9522240760416,82.7688083695216,84.6788577934336,84.9971993640856,85.3155409347376,84.9971993640856,87.2255903586497,84.0421746521296,82.4504667988696,73.8552443912654,69.0801208314853,68.1250961195293,66.8517298369213,64.6233388423572,54.118067010841,46.1595277445409,41.3844041847608,35.0175727717207,28.6507413586805,9.55024711956018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97403331099613,30.3013265817853,33.4909399061837,41.4649732171799,46.2493932037775,51.0338131903752,51.6717358552549,52.6286198525744,59.0078465013714,61.5595371608901,65.0681118177284,64.1112278204089,63.792266487969,64.4301891528487,68.2577251421269,75.5938357882433,77.5076037828824,79.4213717775214,84.5247530965589,84.5247530965589,87.7143664209574,88.3522890858371,93.7746317373145,97.9211290590325,100.153858386111,101.110742383431,101.748665048311,101.110742383431,100.791781050991,100.472819718551,99.8348970536715,98.5590517239121,92.498786407555,90.9039797453558,87.3954050885175,83.8868304316792,84.5247530965589,84.5247530965589,84.5247530965589,83.2489077667996,85.1626757614386,87.0764437560777,89.9470957480363,87.3954050885176,84.2057917641191,79.4213717775215,75.2748744558035,69.2146091394464,65.3870731501682,65.3870731501682,63.1543438230893,57.4130398391721,46.2493932037775,41.4649732171799,33.4909399061837,30.3013265817853,7.97403331099613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59036840543061,27.1727104820534,33.5662894190071,43.1566578244377,47.951842027153,50.1895946550869,50.1895946550869,55.3044578046499,59.1406051668221,63.2964314758421,62.6570735821467,64.2554683163851,63.9357893695374,64.5751472632328,66.8128998911666,74.1655156686634,77.681984083988,79.6000577650741,84.714920914637,84.714920914637,88.5510682768093,89.1904261705047,94.3052893200677,98.1414366822399,100.379189310174,102.29726299126,102.29726299126,101.657905097564,101.018547203869,100.379189310174,99.7398314164783,97.8217577353922,92.7068945858292,91.1084998515908,87.2723524894185,83.4362051272463,84.0755630209416,84.714920914637,84.714920914637,83.4362051272463,85.3542788083325,85.6739577551802,88.5510682768093,87.5920314362663,84.3952419677894,79.6000577650741,78.0016630308357,70.9687262001865,65.5341841037759,62.9767525289944,61.6980367416036,55.3044578046499,47.951842027153,43.1566578244377,33.5662894190071,27.1727104820534,9.59036840543061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61486515483023,25.6396404128806,35.2545055677108,43.266893196736,46.4718482483461,48.7153167844731,50.3177943102782,57.0481999186593,60.8941459805914,64.0991010322015,59.6121639599474,64.4195965373625,64.0991010322015,65.7015785580066,66.9835605786506,72.7524796715487,77.8804077541248,81.4058583108959,84.931308867667,85.572299877989,87.174777403794,89.7387414450821,92.9436964966922,98.7126155895903,100.635588620556,101.597075136039,102.558561651522,102.238066146361,101.276579630878,100.315093115395,99.9945976102343,95.8281560431412,92.9436964966921,91.0207234657261,85.8927953831499,83.3288313418619,82.6878403315399,84.290317857345,84.931308867667,85.251804372828,85.572299877989,88.1362639192771,88.7772549295991,86.2132908883111,84.610813362506,79.8033807850909,74.9959482076758,70.5090111354217,67.3040560838116,64.7400920425235,61.8556324960744,53.8432448670493,46.4718482483461,43.266893196736,35.2545055677108,25.6396404128806,9.61486515483023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
