X..0.707..0.692.,X..0.692..0.677.,X..0.677..0.661.,X..0.661..0.646.,X..0.646..0.631.,X..0.631..0.616.,X..0.616..0.601.,X..0.601..0.585.,X..0.585..0.57.,X..0.57..0.555.,X..0.555..0.54.,X..0.54..0.525.,X..0.525..0.509.,X..0.509..0.494.,X..0.494..0.479.,X..0.479..0.464.,X..0.464..0.449.,X..0.449..0.433.,X..0.433..0.418.,X..0.418..0.403.,X..0.403..0.388.,X..0.388..0.373.,X..0.373..0.357.,X..0.357..0.342.,X..0.342..0.327.,X..0.327..0.312.,X..0.312..0.297.,X..0.297..0.281.,X..0.281..0.266.,X..0.266..0.251.,X..0.251..0.236.,X..0.236..0.22.,X..0.22..0.205.,X..0.205..0.19.,X..0.19..0.175.,X..0.175..0.16.,X..0.16..0.144.,X..0.144..0.129.,X..0.129..0.114.,X..0.114..0.0988.,X..0.0988..0.0836.,X..0.0836..0.0684.,X..0.0684..0.0532.,X..0.0532..0.038.,X..0.038..0.0228.,X..0.0228..0.0076.,X..0.0076.0.0076.,X.0.0076.0.0228.,X.0.0228.0.038.,X.0.038.0.0532.,X.0.0532.0.0684.,X.0.0684.0.0836.,X.0.0836.0.0988.,X.0.0988.0.114.,X.0.114.0.129.,X.0.129.0.144.,X.0.144.0.16.,X.0.16.0.175.,X.0.175.0.19.,X.0.19.0.205.,X.0.205.0.22.,X.0.22.0.236.,X.0.236.0.251.,X.0.251.0.266.,X.0.266.0.281.,X.0.281.0.297.,X.0.297.0.312.,X.0.312.0.327.,X.0.327.0.342.,X.0.342.0.357.,X.0.357.0.373.,X.0.373.0.388.,X.0.388.0.403.,X.0.403.0.418.,X.0.418.0.433.,X.0.433.0.449.,X.0.449.0.464.,X.0.464.0.479.,X.0.479.0.494.,X.0.494.0.509.,X.0.509.0.525.,X.0.525.0.54.,X.0.54.0.555.,X.0.555.0.57.,X.0.57.0.585.,X.0.585.0.601.,X.0.601.0.616.,X.0.616.0.631.,X.0.631.0.646.,X.0.646.0.661.,X.0.661.0.677.,X.0.677.0.692.,X.0.692.0.707.
-0,0,0,-0,0,-0,0,-0,0,0,0,-0,-0,0,-2.7035007294894884,-1.557036949696297,-0.6294665235873469,92.13305281016233,-160.15446070817785,2912.7832663720433,2630.955522523373,2860.930297493716,-384.7507330183134,-2734.2594462337815,3151.881378211898,-3897.613853559823,-1718.9973893598865,-614.261582674232,-727.9531048940133,1065.4315535123135,-740.1341767145259,-6851.386727070021,-1111.1829335907635,-2269.228703080342,1907.921596996445,2576.8553126752972,1391.7492649024427,1472.5155308421015,-1820.4735225333245,1856.299962637819,9409.816529696702,4361.6345242534235,-340.1185746939099,4013.7663176106935,1205.0687139246272,270.8462206032498,-6258.192901246271,-194.06910069801924,-4429.063714787132,-1619.5132087480874,-1802.2922898769032,3102.9956401690515,-6420.818861517407,-183.60620902738236,2943.598843740078,1743.4828077335471,-282.5866391968813,-2083.808401602698,-3811.8287020638463,-1759.6871969405374,3150.742177303618,3836.5196805504024,1218.1633859892643,-371.16491293268456,1655.3360052442067,1381.9278363527842,2296.971088100038,2811.5680693004265,2082.116223082355,-1477.8656641475025,1256.659707367178,1868.422607077056,160.8123580671173,-1680.629504902498,967.169019681567,-98.51145174722507,1.8255273795391331,-0.4263739554666096,2.3590365659128705,2.5770672989086134,0,-0,-0,-0,0,-0,0,0,0,-0,-0,0,0
-0,0,-0,0,-0,0,0,0,-0,-0,0,-0,-0,-0,1.6379209388473301,-0.5888031643683009,2.466370250950079,395.5382112092962,1457.3242763126682,-252.55215790207046,-1812.4311622254709,2366.8845066572367,-3112.1961152757485,-1486.4183843814455,-491.17481515363215,-589.8475918728465,982.2308248215471,-754.0431356531835,-6856.374995528026,-1072.293556403482,-2321.628025088156,1835.547403468762,2495.9463835441998,1335.8797603615562,1422.5036238071982,-1733.993196850158,1752.138842489805,8274.84788980713,3971.460639667581,-318.678135637252,3856.5722892708163,1141.9256818450951,267.2025494740581,-6541.796809157733,-195.32854618927485,-4496.406204017813,-1536.9812310163124,-1830.3928422412328,3215.831845266108,-6992.073592794892,-199.88533822033472,3101.1990636233086,1745.232706837997,-282.87917194967315,-2077.940584913919,-3900.5086164767054,-1804.1699959710045,3402.89761070063,4432.407979893942,1416.9300883712383,-457.5388038861784,2061.223415688133,1569.4948879934816,2525.1774018952988,3208.5821431281506,2369.3046676454387,-1616.9488646417535,1548.4413824238063,2299.4989491876668,209.32490073630083,-2350.581044068079,1882.230378644416,-567.3049830881865,1006.7783498158319,-350.0530174380865,154.12372230630754,1.2885336494543067,0.4967924185718275,-0,-0.39720461107942023,-0,0,-0,0,0,0,-0,-0,0,0,-0,0,-0
0,-0,0,0,0,-0,-0,0,-0,-0,-0,0,-0,0,0,1.7328469397296886,-0.634553160557966,-272.8828940878799,1198.309618320184,-2018.1594864517945,-1042.1328492303214,-369.96365551906035,-476.51673195089654,733.7842044255087,-615.8413521563089,-5459.659827286595,-987.6281414853377,-2095.127729957604,1858.9828566110593,2501.5911925533464,1403.2224667278035,1459.6258640805286,-1755.9266127842943,1692.6182024052257,8034.535652279492,3744.8648097878304,-301.63037189951916,3484.2706432026866,1077.7124288828593,246.71702068104696,-6150.423416239914,-189.48929891163533,-4372.081608515016,-1621.399653953385,-1917.4494554483715,3274.1953996266543,-7228.164109042413,-212.2500203172718,3347.967828966788,1898.0572286266186,-306.866857678601,-2202.631689550476,-4098.982710638818,-1806.1324723988191,3293.6302562285914,4494.968431268592,1470.143221292397,-474.7095171480176,2240.5311070489042,1842.570448470379,2907.0502787486753,3617.4033269581864,2544.8087171006564,-1859.2778765458474,1718.7139763609623,2600.4871643891584,244.15128527211272,-2741.6257192891903,2393.1396373986736,-731.4907360002283,1513.3621976379413,-648.5147862647132,1095.379312105543,1391.6163414106513,145.89137358726,-248.9396349286747,-0.39720461107942023,-0,0.9787533240331203,-0,0,0,0,-0,-0,0,0,-0,0,-0,0,-0,0
0,0,-0,-0,0,-0,-0,-0,0,-0,0,1.7897656615805257,0,-0,-2.715252677491342,4.460209497469667,-1.7338139917970743,-167.72524397483713,-210.7714361924178,-295.45091621512995,534.256530991171,-466.39402738988116,-4509.394686036621,-807.3596743151263,-1784.1123993305778,1657.0243927671438,2415.0374544131028,1277.0172466488364,1263.1873426341558,-1705.7930906491254,1692.6182024052257,8135.872137983917,3671.120604797379,-285.31472071494045,3301.0745951374165,998.872823857003,234.57145025040796,-5484.899579007683,-174.14696292724915,-4087.171077154441,-1527.0773936884993,-1901.4707099863017,3325.7498726451367,-7344.101416128249,-213.67910417772183,3570.8891926174106,1960.4702966853304,-317.5930586143004,-2396.269640280188,-4487.485192828486,-2040.321326118043,3477.3435005607002,4474.636284571831,1476.4035898713566,-481.99406216819176,2340.7804072187896,1879.1184401503679,3244.199305159764,4082.308283299202,2891.2582692719952,-2128.9115658475857,1932.1542701695096,2832.6051947564106,278.3666806055419,-3172.924993430122,2647.3233482216874,-838.6435431638766,1792.6678867074288,-776.0005989492295,1384.754464190855,2096.444247662157,247.89941686734193,-1567.35294418685,-430.96700302117097,-712.8500314673743,221.1982512314852,-0.27588899334541384,0,1.042967893943596,0.09641931017896613,-0,-0.9131054026925008,0,0,-0,0,-0,0,-0,0,0,0,-0
-0,0,-0,-0,-0,0,-0,0,0,0,-0,-1.357626338745671,1.4867364991565557,-3.4676279835941486,-0.745445528777054,-0.703352957260571,-1.3178006967668598,100.14902527592245,-229.053919543,-2770.9831284218394,-546.0716713380784,-1388.5820332070768,1213.8186171642847,1921.1166661127993,1083.4693202036221,1220.3936489857333,-1594.8726729250639,1498.556115462795,7469.94666049769,3436.479952555034,-273.8100948796606,3368.4434644259354,1019.5637609226123,224.5311120277464,-5121.886576881011,-156.1139933933624,-3767.2942533087034,-1395.9694519203083,-1709.1747732186345,3115.64107694717,-7120.6586061082735,-220.8245234799719,3634.1366492810757,2032.7994596692579,-338.3628840625184,-2635.3831703479386,-4840.79723279083,-2218.906681049183,3962.4425248101907,4945.403681166071,1552.0497102004545,-515.4682809513731,2404.35313415579,1839.1225247269838,3118.055111604595,4197.427605821739,3311.7842059536533,-2423.2901190409393,2165.5796102148124,3314.6964885960874,301.8286659770362,-3328.1927321208577,2963.7820681963394,-952.7094346606635,2037.2885555656726,-915.4248823868109,1575.8364260297976,2471.4075396533603,277.37576703593703,-2144.9895728077554,-641.8826515043431,-1267.1034517183539,1314.4657141764806,-309.2715615402089,230.1479472873276,236.75371192519628,0.09641931017896613,-0.4975297694387528,-0.4565527013462504,0.3939069033534502,0.1797736680786298,-0,0,-0,0,-0,0,0,0,-0,-0,0,-0
-0,-0,0,-0,0,0,0,-0,-0,1.4867364991565557,-0,-0,-0,-0,0.7703771175070958,-0.591870593134367,-7.482402687007667,-94.38775921496459,-664.28817900229,762.3415051582616,1192.9363039329232,807.1148066710224,928.5715935037202,-1235.791320631916,1379.5148352936365,7044.3334205391,3260.8346643050495,-251.95130579262886,3048.145857808592,936.800012660175,219.10609056872764,-5174.825973024484,-163.8996564302151,-3650.7399450248317,-1296.9310786421784,-1508.6139681085176,2841.332371452602,-6243.750974331766,-190.93803057229985,3374.925761315236,1919.6393175815,-343.9210063655626,-2625.8479682286725,-4859.096262749039,-2292.826626496871,4101.728383258064,5444.3232808789035,1765.4239392666682,-556.2270447547287,2530.6835530690605,2081.856356262004,3394.425572030011,4200.379383322317,3126.0234263354682,-2260.3153258237494,2203.1514971399124,3550.6406403430196,336.6550505128481,-3855.8155108199308,3334.890285997939,-1076.2808171155161,2191.5456191367293,-1038.2205815611944,1813.3127736650265,2789.675351068574,358.1873337902876,-2356.4674180141537,-747.5390780514689,-1516.684434632575,1732.3933835386229,-441.97416733935296,416.418767933546,1394.4480742025878,112.4249156686745,-141.96182754652415,-113.2250699338701,0,0.1797736680786298,-0,0.1875546913571945,-0,0,-0,0,0,0,-0,-0,0,-0,-0,-0,0
-0,0,0,0,-0,-0,0,-0,-0.745445528777054,-0,-0,0.3851885587535479,-0.591870593134367,-0,-0.4050976790341828,-1.690300709929491,4.13566820158189,272.8324354420724,378.61566023690114,582.0973509526375,-852.8965453245627,933.110034659291,5136.312161132907,2686.970669106628,-242.32925509403117,2795.2171204797673,850.4688614553911,196.59630003727668,-4796.687429142534,-147.01163734292433,-3552.316306918451,-1322.8697002150218,-1528.4496521303972,2693.478033739217,-5830.592570898604,-170.30951571710833,3053.5042602375943,1764.4815969869455,-307.54943410178186,-2328.0562712731303,-4670.475492410576,-2323.5720905326352,4331.069753633442,5613.236499590458,1890.1096134642846,-610.1673662136375,2746.667817662716,2357.0006709849386,3725.8407714613195,4535.406129637906,3472.472978506807,-2449.7415252699075,2257.510822903887,3517.4809217191264,332.500323936646,-3965.0779936023005,3495.026023816438,-1194.2353185496934,2462.6364349982905,-1037.7942076057277,1873.0750333348192,3109.231696133242,389.1540612145982,-2781.8399980864524,-907.2153317053958,-1800.4888968092814,1907.5902285405516,-508.7393037289431,471.33416542776445,1705.2525065977795,151.57115560133477,-244.45296005090722,-591.2357482433943,451.8112181464074,136.9875350759159,-158.43214932395,0.1875546913571945,-0,0,-0,2.636921706732429,0,0,-1.325569289190547,-0,0,-0,-0,-0,0,-0,0,0
0,-0,-0,0,-0,-0,-0,-0,0,-0,-0,-0.4050976790341828,-0.8451503549647456,0.6892780335969816,2.8224045045731625,0.9976697239444035,2.062346681851683,-182.36068676667725,480.5051673494688,3011.1412895029443,1799.3586017670134,-163.15651184578707,2231.4460564337423,756.2894237774451,187.770518857679,-4497.957979475794,-131.84104392552754,-3073.1485950847555,-1224.3029382382163,-1449.1069160428785,2548.5418737438604,-5636.661075409569,-173.41621976156486,3043.1358247189605,1701.4852292267506,-276.0534077178644,-2165.957835245606,-4383.321483835604,-2030.5089439789695,3863.9818317694526,5298.870231432843,1816.5502826615066,-598.7202240390781,2919.4552293376405,2449.4050273079292,4118.034536878301,4964.889755971986,3834.8774442649838,-2694.6303506800305,2543.696685014224,3928.1512831381106,354.61813306289844,-3998.1442712864387,3404.790806474268,-1105.661425531355,2357.66861067479,-1169.1173858894435,2110.5513809700483,3342.4562866844717,411.50972005033043,-2928.061822486305,-986.6562539212798,-1991.6395492753572,2261.898931840541,-627.9233488541619,589.719620327361,2091.15062735691,185.6071720945098,-290.22569883927247,-768.3781963657394,660.9757838270895,274.6941648241463,-756.2276818246273,217.93855135706,-422.7508395671026,48.59078341755657,-0.4229170881195107,0,1.3504255631894804,0,-0,-0.6829259389045802,0,-0,-0,-0,0,-0,0,0,0,-0,-0
0,-0,-0,-0,-0,0,-0,-0,-0.4050976790341828,-0,0,0,0,1.5467600113887623,-0.6266690266896126,1.2400133350954035,17.371968977901602,390.1738845858427,-79.27733075583755,1296.5552563071055,491.2313851611047,125.18034590511934,-3541.2674634544605,-119.81906423626971,-2875.0062710021734,-1040.374530721689,-1279.9526106340709,2398.742084218458,-5451.161384072231,-155.95654303171904,2763.1880657158536,1550.9939062440624,-273.90816753072454,-2135.885274715613,-4203.1464196317,-1981.4470332836013,3646.6478629844087,4815.590744563672,1643.8684493585317,-566.6335376406918,2755.6332022307547,2348.0360692521112,3968.95503540401,5367.807384800866,4156.254989371291,-3102.4939693073434,2722.762699295552,4211.284265234429,379.6686903605877,-4577.522962882424,3899.1781240250293,-1285.83368596378,2614.1552075000386,-1124.3481205654496,2097.183507096542,3378.535228869192,456.2210377217949,-3097.244098651424,-1000.955619920139,-2126.029309306092,2551.6099157543445,-689.99837235688,637.7360985383862,2415.5136423733684,228.80302305468663,-351.91939024967786,-928.1716418369272,767.7245546358744,304.8961410613561,-887.4378123643935,298.3995139492964,-848.2792799197973,232.92994428486034,-155.63348842797993,1790.4698388713193,384.8712855090019,5.467290178439372,-0,-0.6829259389045802,1.008749895332759,-0,-0.7785184748481485,-0.6294665235873469,0.40948023471183254,-0,0,0,0,-0,-0,0,-0,-0
-0,-0,0,-0,-0,-0,-0,0,0,0,0.5155866704629207,-0,0,8.685984488950801,0,-0.10458750759345324,8.273369912625103,101.31424356263888,65.34316891683784,-1989.0087408190564,-74.99425425203694,-2096.682501239873,-838.9965050561583,-1153.7756206060028,2131.2424600659533,-4825.099925808715,-148.43831924413416,2577.593069932312,1450.6663575889368,-240.85196646525083,-1926.110828091758,-3876.5791157621243,-1834.261301197497,3378.882807519962,4441.79204760014,1539.5289730425347,-541.6579547143804,2600.776559691907,2135.6439666589686,3538.918011920478,4874.860542204361,3991.007670079041,-3018.0201236083813,2876.2478543938337,4579.867291476934,440.7676105988541,-4895.246761499577,4152.090916293928,-1345.8911061079216,2807.6611097311866,-1346.9153253190198,2356.6775293469577,3574.3923435862466,443.1388373660701,-3250.7165920297816,-1055.769856249099,-2136.8806563893186,2381.306837372582,-697.1714861838608,707.2772049129744,2680.4274874350417,242.2053071695629,-383.2637657243193,-1018.1125240021385,876.4428599614266,401.25482715150173,-1167.824605841487,365.54409345517206,-999.3807626560022,288.4865393112275,-213.7141018630594,4071.4071151948706,1833.8779148113144,1230.1402901488589,-1027.3161991226739,-202.14607791575574,3.5306246336646563,-2.7035007294894884,-0.7785184748481485,-0.6294665235873469,0.40948023471183254,-0.3925354429122006,7.399110752850237,0,1.7328469397296886,-0,-0,0,-0,-0,-0,-0,0
