V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.920609264799662,72.8344496573808,102.23538386490583,159.88970549831458,155.11701357771824,144.3981547904254,134.70310421169611,172.18881491437722,132.4046570776006,187.9606304227543,177.51595211351798,167.9070136459297,181.74461373098353,190.44557638751533,177.29513576472883,181.60455814500833,198.71539107341468,193.51749645258306,157.16270452648544,182.8385229532267,217.41936292496453,242.72091417514213,236.66588977114873,278.52120118574027,277.1581259362728,293.12062128050883,304.2410943864311,309.53175153000586,291.27188678746074,257.83701567660233,266.7188480668849,248.84106545576387,262.33855904218024,254.0283261669235,244.13779057076874,262.3623664568596,248.61922911554012,283.8268065152627,274.4850825364131,262.6493013419089,242.1820554244931,250.00888164467668,235.60821688947595,231.77087880707032,221.24726859064194,195.45530697832095,198.35814760266274,189.11697953200675,166.81567529481453,179.75873031438147,167.72899486037952,133.25086441726148,105.82933410752288,86.95644605449273,102.38478657582134,73.05855372375402,23.44351875300383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.418806574658493,72.04214618438718,117.42760543953835,132.6850739152811,162.20740042462077,135.38805500209617,136.24160274246134,163.8199375730426,171.49303039048735,184.57185944236642,181.1069876973772,183.0018144547025,190.05161720275154,191.18738753263767,169.34522545999192,177.48697391382856,195.11032582257303,197.87451110168016,161.96877196871023,192.28337063441927,208.1103728521281,230.35791743618685,232.3993360963478,260.7486164797861,281.11457820661263,292.7175729390915,306.1634323897011,299.56173105400075,277.36011709890084,245.41690745916873,261.69283039725946,256.51894835946734,259.16702751142964,254.82249835810953,254.80133407006883,236.2694357857444,254.56267245145057,290.00390550387766,299.8781009578351,269.6817999745945,244.68516488377176,243.07066651946533,227.42954928485472,218.199528913639,213.99206667700588,210.9121495701843,169.73346571940175,180.84377374658004,178.71575802991194,181.07671315982057,163.541202552026,116.75704089066598,115.39598885391234,54.76201155441327,118.85716312243626,74.18648270873402,21.422258464801107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.91293728356059,64.44920014144716,106.40844915014979,130.95483312697615,168.37037667342557,157.58575019895548,145.07512700404058,167.6192343683474,186.51071358224877,196.52905365695426,215.77675595826224,223.80710390730647,217.07218163833434,214.96154234256431,192.809786652199,191.33481834953608,187.75006259002836,187.79868109499225,173.24494730815962,166.24219107582104,221.5273633735337,223.92154804424965,233.38887261238054,247.83506875681496,272.90958883436684,280.7853592540702,290.8261454487045,304.34969553420774,281.17536178793756,263.14309335527076,244.05671254233752,265.8005970338998,263.25993520659324,261.5203330390245,287.26761565857134,244.65749309912692,269.1327009368201,281.87749262893794,299.53459173869356,248.73599821922627,235.0241852160925,228.88875608754117,216.09802808867423,211.31658012038503,184.7339593211106,166.9939701011807,145.53214203562408,154.9496410223302,146.6682753662398,166.94653088351987,149.9065653140269,146.98440375837382,104.26307654913002,70.425181640123,116.96659028788895,80.28641184805605,71.86643126564809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.48231157381339,80.68551862859643,109.48410167227063,124.7922176046233,175.03477879153237,152.3362845316074,142.73206384804732,144.97298192257793,202.52115132461236,175.84898740971454,195.53949015299202,200.79035024315195,208.45555540784892,203.93589467970872,196.33537477044987,188.79953468556238,189.8339216377132,175.7540286669764,192.33167381442698,176.52536939488346,191.826142908765,216.30289087280838,254.40762450531025,241.65858623098364,273.58821719660523,279.326499471315,297.59921835481447,303.3030836070834,270.04484636706775,266.90392635195286,241.75046988042743,272.2636655133775,267.6923110046367,264.2708978417615,273.4004048815688,243.05494515891465,276.00696797997006,286.8540060596729,279.4141379251783,270.2758224680144,250.03231745758222,216.51691161120687,213.9755790773413,213.71020114800146,188.84667937008547,174.84869121988282,169.4466638261619,185.88797628919224,169.01872089701462,143.49306317358466,145.6715112821183,135.86412137326286,92.04786141698851,52.219714685391246,102.72775284662073,70.55099539012141,34.83509068403833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71393058982055,70.82429291341965,95.46009805105976,146.81176518978128,166.29762964928122,164.81345799439865,145.08418215518856,169.58558867242994,204.6158144808833,201.760284987127,207.61247179627833,233.53543922183843,225.96011810647977,203.4738520576644,219.38534358509892,207.1885950252355,177.6466225752575,166.2399527164715,192.11005922961468,191.8095229884284,181.34135105757744,219.23902457002066,225.54244950043105,251.20940856640667,273.43799961617583,273.4019571861165,294.1415716986817,276.91048822859796,286.0190747863966,260.5478307488932,261.02875947745247,258.8114240439564,279.27856423326784,275.0569721594153,260.0464010907728,271.0186118404185,274.39945612580544,305.5343679103629,267.21837629088765,279.8887617603378,249.78815921655357,211.1161154028182,211.97256370856252,191.1064378664817,187.27653935389665,151.23974158682572,135.55656129707728,160.55895131582423,148.67485995482164,169.5716520797237,130.44056998239262,126.78519210247474,98.88895671575808,91.1384841634478,103.75676068176483,83.26928685947735,54.75224979728867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.13251374978207,71.42035130002168,111.51334815961084,130.37242772546062,164.58443147308543,156.71460307449328,166.1939972275436,154.05973093922512,201.05054462864976,218.1566841994281,209.50616671740272,243.943650648681,239.3852360513893,202.34078371599034,220.276335189864,203.73902536035195,172.09256718556142,174.3086387087422,191.71368267529738,191.08413979736568,173.9409738666132,216.31848373959443,221.34115340598206,264.3209829796488,255.47997399362697,292.19894536096774,290.98573896914974,264.12577236262456,297.73653888701034,258.8524853860511,270.03282556114254,272.1549247657897,272.86373062440873,283.2910239236066,254.71361146674312,283.83776782549336,288.415378206597,294.89223342622756,268.259913288345,267.62293667249156,246.31912482763545,217.86541268415522,211.56574858862157,182.82625336124968,173.0569385000765,168.47372499482114,150.9069579170114,159.66997960280608,137.28795769208966,147.7221124835708,134.74310477059447,113.38794717900285,87.9201145712167,75.99074081466779,110.3237154719752,69.63590226856812,42.96879934305713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.699310796758304,98.38527599816918,69.31967215346016,145.2121289424842,159.58913252170592,175.89588858086577,159.37014435238598,175.92352260261015,197.78400007381944,211.95022956145712,214.67979296333615,225.7734311400885,224.70628600491406,225.36820704868515,214.35586215111067,200.8125776699292,175.00997428282855,176.0800740244479,197.4172964545614,203.78093749029551,175.4831172232397,184.6660187289847,220.09861856076287,246.42263702300667,256.18868143908225,289.74355952405017,279.51360844172865,275.102127440262,275.2211735091572,284.68162501989536,270.8346331493618,284.07277090418165,279.76587810732224,267.93918401442806,266.95414526222606,278.71157756412043,318.64978987806387,275.6000078373044,286.0590853496711,260.1198351869106,256.4472227355702,220.51056348221815,192.57947562979675,193.38935300274045,154.67384408932833,157.04632002331329,171.09664477003713,156.25325786513747,149.75325659239084,155.9030266669909,144.51241622777172,122.5222961584257,87.08378397750627,98.20821394773846,68.94680275100718,97.82597189448968,21.39426788817287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.798404310851126,108.18628205750812,77.68461384218944,141.6864936238886,145.92326215433482,165.28919139952305,159.50135576392663,153.06657884759676,187.58705682636148,190.13700828281264,196.93109593960372,205.75368066181062,208.85525668594158,216.49249788183494,202.4831842705799,207.1375771396011,178.46751636175964,165.70332960113606,184.33285070229965,206.16997818034292,190.7182002585974,175.86554743439842,232.2564011966298,239.70415680393418,276.4323896339996,274.6694260175487,266.4261704143218,280.24492659641777,265.0686682233641,294.4747248872411,272.2896136406979,291.0233019715569,290.3419325319202,267.29188616887217,285.4762682736772,275.7761460437354,316.2976083749874,271.0754345089838,276.2798043653003,266.4645842497036,250.21512559776997,249.42208562588712,194.12282010367048,207.52221042874586,173.42580764862225,185.25695615527138,178.20917567428984,157.8341080603246,175.2412399159527,151.80235774941033,151.4190416933959,121.4459403413782,86.84285306754242,84.8671646004531,69.61708176269376,96.0849839382644,-10.437957967384362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.357934712555444,77.65733778078886,84.89114527656726,130.08050028524153,151.95477948084798,181.27261227933676,166.03342904547853,160.5076770996674,183.28082952305485,197.84186654733725,203.66645452113085,220.7478481168016,224.46518101979237,219.47115812081435,212.20844700582902,195.34941878964352,193.4471457293984,187.93795898092475,173.3870912230569,206.08566192488047,186.9077477898425,177.26010123911635,200.90941656162573,223.06368932973868,267.2952751364625,263.84669380276216,258.2594517140889,264.74535518326906,283.79959373191895,287.8026931022867,288.5142196391661,295.50889981105416,277.4612319999484,280.0905706429824,283.5942009488388,307.0111817288996,304.38719355569054,271.99324171602274,270.0439391215374,259.7997262436679,247.73542506817162,240.11778356022003,208.943047487844,168.0819472975521,185.57340632546845,171.21538708200694,174.48433809183726,149.37686120919065,162.80111807968976,150.4359284872542,155.9619030906206,122.88788236165645,101.19819297174708,92.8033905521774,88.57521370815675,83.18344042817311,32.25217422311876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.488970639165526,82.47995757977442,99.15479754435097,126.64430832080357,137.3290614636039,159.39364870773534,190.35284000865167,189.05809295779494,184.36847605403435,223.96642310161445,228.08873476088115,235.7291820823856,235.81597791776616,247.67755323962717,230.00881437529884,196.04149867568321,216.73195874903766,201.0173850089423,164.63083300250176,194.40771118324736,185.64514053256642,181.8154761334254,185.19754105212778,240.06132777147073,261.8146626000634,253.42847454712046,255.28868442909123,265.28671406641877,283.7258443841883,285.57758348525,294.4804544844209,291.04202795496366,283.05407975306315,302.21833083161135,282.93961287504334,327.68845925373256,283.7416980311315,285.94497096560866,273.03998848387374,252.91102781933867,236.02145510229153,217.33828312468012,207.4307811071643,152.06141306735665,162.03695335867667,149.20914976205785,165.76266073459516,139.5946210639957,140.4310839946475,153.78053055165816,144.44701274498487,96.02959455042225,92.88719853303037,99.2509271436381,106.39916993501922,93.34651616577695,50.84427400650484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
