m1
0
-0.10132118364233778
0
-0.11096560133895836
0
-0.1220555603068019
0
-0.13489506697944378
0
-0.1498724593686881
0
-0.16749011989855836
0
-0.18840715966550411
0
-0.21350197385612277
0
-0.2439659891506944
0
-0.2814477323398271
0
-0.32828063500117444
0
-0.3878551925817278
0
-0.465250333051551
0
-0.5683528999327812
0
-0.709949470158249
0
-0.91189065278104
0
-1.214055602814994
0
-1.6956644369895373
0
-2.5330295910584444
0
-4.187252997463959
0
-8.20701587502936
0
-22.797266319526
0
-205.175396875734
506.25
-205.175396875734
0
-22.797266319526
0
-8.20701587502936
0
-4.187252997463959
0
-2.5330295910584444
0
-1.6956644369895373
0
-1.214055602814994
0
-0.91189065278104
0
-0.709949470158249
0
-0.5683528999327812
0
-0.465250333051551
0
-0.3878551925817278
0
-0.32828063500117444
0
-0.2814477323398271
0
-0.2439659891506944
0
-0.21350197385612277
0
-0.18840715966550411
0
-0.16749011989855836
0
-0.1498724593686881
0
-0.13489506697944378
0
-0.1220555603068019
0
-0.11096560133895836
0
-0.10132118364233778
