X..0.707..0.692.,X..0.692..0.677.,X..0.677..0.661.,X..0.661..0.646.,X..0.646..0.631.,X..0.631..0.616.,X..0.616..0.601.,X..0.601..0.585.,X..0.585..0.57.,X..0.57..0.555.,X..0.555..0.54.,X..0.54..0.525.,X..0.525..0.509.,X..0.509..0.494.,X..0.494..0.479.,X..0.479..0.464.,X..0.464..0.449.,X..0.449..0.433.,X..0.433..0.418.,X..0.418..0.403.,X..0.403..0.388.,X..0.388..0.373.,X..0.373..0.357.,X..0.357..0.342.,X..0.342..0.327.,X..0.327..0.312.,X..0.312..0.297.,X..0.297..0.281.,X..0.281..0.266.,X..0.266..0.251.,X..0.251..0.236.,X..0.236..0.22.,X..0.22..0.205.,X..0.205..0.19.,X..0.19..0.175.,X..0.175..0.16.,X..0.16..0.144.,X..0.144..0.129.,X..0.129..0.114.,X..0.114..0.0988.,X..0.0988..0.0836.,X..0.0836..0.0684.,X..0.0684..0.0532.,X..0.0532..0.038.,X..0.038..0.0228.,X..0.0228..0.0076.,X..0.0076.0.0076.,X.0.0076.0.0228.,X.0.0228.0.038.,X.0.038.0.0532.,X.0.0532.0.0684.,X.0.0684.0.0836.,X.0.0836.0.0988.,X.0.0988.0.114.,X.0.114.0.129.,X.0.129.0.144.,X.0.144.0.16.,X.0.16.0.175.,X.0.175.0.19.,X.0.19.0.205.,X.0.205.0.22.,X.0.22.0.236.,X.0.236.0.251.,X.0.251.0.266.,X.0.266.0.281.,X.0.281.0.297.,X.0.297.0.312.,X.0.312.0.327.,X.0.327.0.342.,X.0.342.0.357.,X.0.357.0.373.,X.0.373.0.388.,X.0.388.0.403.,X.0.403.0.418.,X.0.418.0.433.,X.0.433.0.449.,X.0.449.0.464.,X.0.464.0.479.,X.0.479.0.494.,X.0.494.0.509.,X.0.509.0.525.,X.0.525.0.54.,X.0.54.0.555.,X.0.555.0.57.,X.0.57.0.585.,X.0.585.0.601.,X.0.601.0.616.,X.0.616.0.631.,X.0.631.0.646.,X.0.646.0.661.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6832802201449484,0.45552014676329894,0.22776007338164947,51.24601651087113,185.85221987942597,268.98464666372803,334.8073078710247,376.03188115310326,414.2955734812204,458.708787790642,482.8513555690969,512.004644961948,525.2147292180837,596.7313922599216,629.0733226801158,629.9843629736424,569.6279435275053,625.6569215793911,624.7458812858645,611.5357970297288,630.4398831204057,623.834840992338,635.450604734802,650.4827695779909,661.6430131736917,681.9136597046585,740.2202384903608,740.9035187105058,740.6757586371241,773.4732092040816,769.3735278832119,761.8574454616174,753.8858428932598,772.1066487637917,778.9394509652412,782.1280919925842,745.0032000313754,726.5546340874619,693.7571835205043,673.0310168427742,646.6108483305028,680.7748593377503,660.0486926600202,647.0663684772661,616.7742787175067,612.6745973966371,597.6424325534482,558.6954600051862,531.8197713461515,487.40655703672985,462.58070903813007,456.43118705682554,456.2034269834439,433.88293979204224,416.11765406827357,394.4804470970169,358.038835355953,333.66850750411646,299.7322565702507,266.2515257831482,173.32541584343525,51.92929673101608,0.45552014676329894,0.22776007338164947,0.6832802201449484,0.45552014676329894,0,0,0,0,0,0,0,0,0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.636114613554651,-4.977085960165988,-1.6590286533886627,-366.6453323988944,-1395.2430974998654,-1980.8802121460633,-2214.8032522738645,-2641.173616194751,-2977.9564328326496,-3308.103134856993,-3475.6650288492483,-3712.9061262838272,-4230.52306614109,-4227.205008834312,-4560.669768165434,-4391.44884551979,-4557.351710858657,-4417.993303974009,-4401.403017440122,-4442.878733774839,-4577.26005469932,-4590.53228392643,-4688.414974476361,-4741.5038913847975,-4914.0428713372185,-5055.060306875255,-5413.410496007206,-5310.55071949711,-5474.794556182587,-5740.239140724773,-5660.605765362117,-5760.147484565437,-5406.774381393651,-5511.293186557137,-5484.748728102919,-5502.998043290194,-5337.095177951328,-4962.15470228549,-4963.8137309388785,-4812.84212348051,-4700.028175050082,-4597.168398539984,-4575.601026045932,-4701.68720370347,-4701.68720370347,-4505.921822603608,-4376.517587639292,-4195.683464419928,-3775.9492151125964,-3653.181094761835,-3606.7282924669526,-3449.1205703950295,-3143.8592981715155,-3213.53850161384,-2991.228662059759,-2841.916083254779,-2712.5118482904636,-2457.0214356686092,-2178.304621899314,-1829.9086046876948,-1362.062524432092,-325.1696160641779,-1.6590286533886627,-4.977085960165988,-0,-1.6590286533886627,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1.3860630577478414,-4.1581891732435246,-278.5986746073161,-1117.1668245447602,-1613.3773992184874,-1937.7161547314824,-2187.207505126094,-2506.0020084080975,-2640.4501250096378,-2884.397223173258,-3034.092033410025,-3379.2217347892374,-3436.050320156899,-3738.2120667459285,-3685.5416705515104,-3898.995381444678,-3923.944516484139,-3883.748687809452,-3783.952147651607,-3846.32498525026,-3871.274120289721,-3997.4058585447747,-4086.1138942406365,-4187.296497456229,-4223.334136957673,-4508.863126853728,-4587.868721145355,-4679.348882956712,-4765.284792537079,-4823.499440962488,-4665.488252379234,-4752.810225017348,-4734.7914052666265,-4475.59761346778,-4510.249189911476,-4361.940442732457,-4162.347362416768,-4036.2156241617145,-3826.9201024417903,-3801.9709674023293,-3983.5452279672963,-3905.925696733417,-3793.654589055842,-3810.2873457488163,-3703.560490302232,-3513.669851390778,-3397.2405545399592,-3095.07880795093,-3020.2314028325463,-2980.035574157859,-2826.182574747849,-2769.353989380187,-2643.2222511251334,-2609.9567377391854,-2346.6047567670958,-2298.092549745921,-2108.2019108344666,-1930.785839442743,-1496.9481023676688,-1221.1215538758483,-285.52898989605535,-1.3860630577478414,-0,-1.3860630577478414,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.41152308324256315,-0,-0,-0.8230461664851263,-1.2345692497276894,-0.41152308324256315,-92.59269372957671,-369.95925183506426,-461.3173763149133,-570.7825164574351,-648.5603791902795,-744.0337345025541,-820.1655049024283,-868.7252287250508,-989.3014921151218,-1056.3797546836597,-1053.4990931009615,-1008.2315539442798,-1120.1658325862568,-1123.4580172521974,-1156.3798639116023,-1126.750201918138,-1122.6349710857123,-1149.3839714964788,-1152.2646330791767,-1192.1823721537055,-1193.8284644866758,-1251.8532192238772,-1298.7668507135293,-1332.5117435394195,-1420.1661602700854,-1406.9974216063233,-1433.74642201709,-1415.2278832711747,-1417.2854986873874,-1383.1290827782548,-1340.330682121028,-1344.445912953454,-1311.9355893772913,-1283.5404966335545,-1191.7708490704629,-1177.3675411569732,-1164.6103255764538,-1143.622648331083,-1181.8942950726414,-1121.4004018359847,-1164.1988024932111,-1138.2728482489297,-1044.0340621863827,-1026.750092690195,-994.6512921972751,-913.9927678817328,-937.4495836265588,-908.2314447163369,-857.202582394259,-798.7663045738151,-808.231335488394,-748.972011501465,-724.6921495901537,-669.5480564356502,-616.050055614117,-533.7454389656044,-446.50254531818103,-351.4407130891489,-93.00421681281927,-0.41152308324256315,-0,-0.41152308324256315,-0.41152308324256315,-0,-0.8230461664851263,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.7674477968495659,-0.7674477968495659,-1.5348955936991318,-0.7674477968495659,-2.302343390548698,-3.837238984247829,-199.53642718088713,-594.004594761564,-852.6345022998677,-1034.5196301532148,-1260.9167302238368,-1351.4755702520856,-1567.1284011668135,-1666.896614757257,-1816.5489351429223,-1953.154642982145,-1854.9213249854008,-1980.01531587188,-1966.9687033254374,-2009.1783321521634,-2187.226221021263,-2193.365803396059,-2128.132740663846,-2079.016081665474,-2092.830142008766,-2232.5056410353873,-2271.645478674715,-2380.6230658273535,-2458.1352933091594,-2592.4386577578334,-2727.509470003357,-2689.9045279577285,-2674.555572020737,-2663.0438550679937,-2757.4399340804903,-2639.252973365657,-2603.1829269137274,-2532.5777296035676,-2426.669933638327,-2283.1571956274583,-2280.8548522369097,-2263.9710007062195,-2046.7832741977923,-2086.6905596339698,-2182.621534240165,-2230.2032976448386,-2179.551743052767,-2079.016081665474,-1994.5968240120217,-1895.5960582184277,-1776.641649706745,-1789.6882622531875,-1692.2223920532927,-1712.943482568231,-1647.710419836018,-1537.96538488653,-1471.9648743574674,-1285.475059723023,-1362.2198394079794,-1240.1956397088984,-1164.985755617641,-1030.682391168967,-860.3089802683634,-640.051462572538,-174.21064988485145,-0.7674477968495659,-2.302343390548698,-0.7674477968495659,-0.7674477968495659,-0.7674477968495659,-0,-0,-0,-0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0.038097542543995444,0,0,0,0,0.07619508508799089,0.07619508508799089,0.11429262763198633,8.876727412750938,29.94466843958042,42.13588205365896,48.30768394578622,61.64182383618463,68.6136741217358,75.12835389675901,84.76703216038986,92.69132100954091,92.65322346699692,91.77697998848502,98.25356222096426,100.04414672053204,103.09195012405168,104.27297394291553,109.07326430345896,107.39697243152315,104.76824199598747,104.31107148545952,111.28292177101069,112.84492101531451,117.073748237698,124.00750098070517,125.37901251228901,134.37003255267194,136.3892023075037,131.51271686187226,133.53188661670404,130.14120533028844,132.61754559564815,128.92208396888057,122.1788189385934,118.29286959910586,115.01648094032224,112.76872593022651,108.42560608021104,104.5015591981795,100.92039019904394,104.99682725125145,106.06355844248331,104.95872970870745,102.17760910299577,99.96795163544405,94.90097847709265,91.47219964813306,92.7675160946289,87.85293310645349,82.48117960775014,82.40498452266215,74.29020796079112,71.69957506779943,69.22323480243972,67.43265030287193,61.0322631554807,57.48919169888912,50.93641438132191,44.421734606298685,32.6114964176601,9.44819055091087,0,0.038097542543995444,0,0.038097542543995444,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.030930346714564398,0,0,0.030930346714564398,0.061860693429128796,0,0.030930346714564398,0.061860693429128796,0.18558208028738638,8.969800547223675,23.47613315635438,34.92036144074321,42.096201878522145,46.55017180541942,54.87043507163724,61.98441481598705,71.66561333764571,73.1502699799448,73.73794656752152,75.09888182296235,78.47028961484988,79.42913036300138,84.84194103805014,86.75962253435314,85.80078178620164,85.64613005262882,85.55333901248513,84.78008034462101,91.08987107439215,93.56429881155731,97.5543135377361,98.1729204720274,102.62689039892467,109.86459153013274,111.56576059943379,111.00901435857162,112.06064614686682,108.81295974183756,104.23526842808202,105.71992507038111,100.49269647561972,95.0489554538564,94.24476643927773,88.80102541751438,87.34729912192986,85.30589623876861,84.16147341032973,85.30589623876861,85.0584534650521,85.491478319056,83.45007543589475,75.28446390324974,73.6760858740924,74.6349266222439,72.68631477922634,71.20165813692725,70.64491189606508,66.71675786331541,60.28324574668601,57.03555934165675,52.82903218847599,50.57111687831279,48.622505035295234,45.59133105726792,40.0547989953609,35.47710768160537,23.56892419649807,9.00073089393824,0.030930346714564398,0,0,0,0.030930346714564398,0,0,0.030930346714564398,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.148271165770521,2.148271165770521,2.148271165770521,6.444813497311563,4.296542331541042,8.593084663082085,625.1469092392216,1664.910153472154,2234.202012401342,2882.9799044640395,3351.303018602013,4055.935960974744,4554.334871433505,4981.840833421838,5110.73710336807,4947.4684947695105,5097.847476373447,5576.911946340273,5649.953165976471,5628.470454318765,5744.477097270374,5995.8248236655245,6305.1758715364795,6266.50699055261,6081.755670296346,6343.844752520349,6689.716410209403,6668.233698551698,6913.136611449537,7278.342709630526,7480.280199212954,7415.832064239839,7695.107315790006,7630.659180816891,7714.441756281942,7226.7842016520335,7228.9324728178035,6784.240341503306,6835.798849481798,6616.675190573205,6234.282923066053,5974.342112007819,5755.218453099226,5497.425913206764,5548.984421185256,5890.559536542769,5765.959808928079,5572.615404008732,5338.453846939745,5205.261034661973,5336.305575773975,5125.775001528464,4964.654664095674,4889.465173293706,4590.855481251604,4307.283687369895,4135.421994108253,3759.474540098412,3615.540371991787,3604.7990161629345,3282.5583412973565,2983.9486492552537,2496.2910946253455,1634.8343571513665,614.4055534103691,6.444813497311563,0,2.148271165770521,0,0,2.148271165770521,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.1789407085258292,0,0,0,0,3.536822125577488,1.1789407085258292,2.3578814170516584,7.073644251154976,343.0717461810163,893.6370570625785,1293.2979572528347,1623.4013556400669,1822.642335380932,2208.155947068878,2467.5229029445604,2617.248372927341,2600.7432030079794,2738.6792659055013,2907.267787224695,3048.7406722477945,2959.1411783998315,3141.876988221335,3134.80334397018,3311.6444502490544,3433.0753432272145,3520.316955658126,3571.011406124737,3580.4429317929435,3629.958441551028,3714.8421725648877,3851.599294753884,3985.9985355258286,4014.2931125304485,4080.313792207895,4287.807356908441,4299.596763993699,4286.628416199915,4015.4720532389742,3892.862219552288,3662.9687813897513,3753.7472159462404,3616.990093757244,3508.5275485728675,3376.4861892179747,3108.866648382612,3144.2348696383865,3091.1825377547243,3247.9816519886595,3021.6250359517003,2970.9305854850895,3002.761984615287,3073.4984271268368,2948.5307120230987,2724.5319774031914,2730.4266809458204,2797.6263013317925,2501.71218349181,2396.7864604330107,2297.755440916841,1999.4834416598064,1921.6733548971017,1875.6946672645943,1800.2424619189412,1616.327711388912,1301.5505422125154,800.500741089038,335.9981019298613,5.894703542629146,0,1.1789407085258292,2.3578814170516584,0,1.1789407085258292,1.1789407085258292,1.1789407085258292,0,0,0,0,0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.8702749933716493,-0,-0,-2.610824980114948,-0,-0.8702749933716493,-6.091924953601545,-247.15809811754838,-702.3119196509209,-915.529293026975,-1140.0602413168606,-1408.9752142687003,-1548.219213208164,-1822.3558361202336,-1906.7725104772835,-1992.0594598277053,-2079.08695916487,-2163.50363352192,-2164.3739085152915,-2149.5792336279737,-2285.342132593951,-2396.737331745522,-2440.2510814141046,-2448.953831347821,-2471.580981175484,-2568.181505439737,-2717.8688042996605,-2777.0475038489326,-2695.2416544719977,-2685.6686295449094,-2874.5183031065576,-3047.7030267875157,-3078.1626515555236,-3131.2494261511943,-3125.1575011975924,-3139.081901091539,-2963.2863524304657,-2843.1884033451784,-2710.9066043526873,-2676.965879611193,-2749.19870406104,-2608.2141551348327,-2414.142831612955,-2328.855882262533,-2341.0397321697365,-2313.1909323818436,-2227.9039830314223,-2117.3790588732227,-2199.1849082501576,-2230.514808011537,-2236.6067329651387,-2186.130783349583,-2011.2055096818815,-1940.7132352187778,-1936.3618602519196,-1942.4537852055212,-1866.7398607821876,-1696.1659620813443,-1565.6247130755971,-1477.7269387450604,-1319.3368899514203,-1343.7045897658265,-1181.8334409986996,-979.0593675431054,-674.4631198630282,-257.6013980380082,-6.091924953601545,-2.610824980114948,-0.8702749933716493,-0.8702749933716493,-0.8702749933716493,-1.7405499867432985,-2.610824980114948,-0,-0.8702749933716493,-0,-0,-0,-0,-0
