V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.39858277110169,-71.92273754305373,-95.14588734354733,-87.03145653400007,-118.67083768561601,-61.07183573604979,-11.18976604973151,-50.49681863019071,-49.46561640620296,-47.63807024837614,-18.483728294708,-40.49367142439477,-21.225012007919347,-44.52880146764613,-49.449035233579416,-94.10703240190908,-140.2232757785887,-181.53472841638475,-210.5393339851823,-236.76186469645592,-264.55814555027797,-291.04144395851705,-293.09488223866805,-283.29189916419887,-284.73339099826717,-280.3297483272988,-248.9496529319028,-201.77788382117313,-227.1336174008723,-202.65692667564312,-191.8069187874087,-160.2010056779464,-144.92303676058506,-127.42296932319768,-105.48581749907217,-95.94069278837645,-110.94497812884484,-143.36478929207155,-156.75239946354597,-171.83899484030167,-195.0554649683967,-247.74602662552098,-262.3712108511202,-304.1322016550657,-305.1149574653993,-279.2770463370063,-260.048667522822,-260.27296868856604,-227.94420350135655,-227.2419944734626,-190.5281502586613,-145.27320954062174,-115.12429928469173,-47.57054267190344,-90.07588449918669,-64.31773327651258,-6.653572815839078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1645021645022,31.6635745207174,37.9962894248608,44.3290043290043,49.3951762523191,48.7619047619047,50.6617192331478,56.9944341372913,58.8942486085343,59.5275200989486,63.0105132962276,66.1768707482993,68.3933209647495,68.3933209647495,72.82622139765,74.0927643784787,79.7922077922078,82.3252937538652,85.4916512059369,85.4916512059369,85.4916512059369,88.6580086580086,94.3574520717377,96.2572665429808,98.1570810142238,100.056895485467,100.056895485467,100.056895485467,100.056895485467,100.056895485467,100.056895485467,98.1570810142238,96.2572665429808,94.3574520717377,88.6580086580086,85.4916512059369,85.4916512059369,85.4916512059369,82.3252937538652,84.8583797155226,84.2251082251082,85.4916512059369,83.5918367346939,83.5918367346939,81.3753865182437,78.209029066172,74.726035868893,74.0927643784787,69.6598639455782,63.3271490414348,58.8942486085343,51.9282622139765,44.3290043290043,37.9962894248608,31.6635745207174,22.1645021645022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.01317849802328,-55.276261689357774,-90.6157779094357,-90.21197498390433,-121.86054371601267,-67.73214246350177,-23.58453264027097,-31.232606378236895,-54.68592796906027,-30.72748638588339,-27.73155433505529,-10.181297924580395,-21.005927862842807,-19.30398221890922,-59.42812691576296,-55.16856552485707,-135.82250633545692,-175.5308012327548,-227.9735939373158,-226.4882488254748,-263.3764013995072,-282.0829489346502,-298.7292723495272,-291.643667212398,-282.0688444730918,-273.5468495377514,-243.23463503025118,-220.80936950370076,-210.23075849076386,-218.45257892223202,-186.29380163235916,-158.97831507628962,-129.3800413684276,-114.37980536744806,-118.00152386953778,-94.65004387663583,-122.8503006461698,-127.01720269700701,-158.72253631041374,-169.87955308381518,-223.14248799863424,-233.13636224902135,-263.5789605544009,-314.81853359130673,-321.6020444922248,-286.57472073961964,-272.3609295150692,-251.3516214332029,-253.08890900644298,-230.90980627854998,-206.86488235381634,-170.00788002323472,-102.18886614471158,-55.4039747232128,-86.39835477444788,-48.95012698687594,-8.252197525565654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0839023172299,26.9180484847012,34.8351215684369,41.1687800354254,46.8690726557151,49.0858531191611,49.7192189658599,53.8360969694025,57.952974972945,61.4364871297887,62.386535899837,64.603316363283,63.9699505165841,68.4035114434761,70.6202919069221,73.4704382170669,76.9539503739106,81.0708283774531,83.920974687598,85.5043893043451,85.5043893043451,87.0878039210922,93.4214623880808,96.2716086982256,97.5383403916233,99.7551208550693,100.071803778419,100.071803778419,100.071803778419,100.071803778419,100.071803778419,98.4883891616715,96.9049745449244,94.371511158129,89.6212673078876,87.0878039210922,85.5043893043451,85.5043893043451,83.920974687598,83.6042917642485,84.5543405342968,84.8710234576463,84.5543405342969,83.6042917642486,86.7711209977429,79.8040966840555,75.0538528338141,71.5703406769704,71.8870236003198,66.5034139033795,61.1198042064393,55.4195115861496,48.1358043491128,41.1687800354254,34.8351215684369,26.9180484847012,11.0839023172299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.58097006940914,-88.63053218241782,-90.59601468859353,-94.31743777345652,-106.39062534245548,-50.26221928334938,-16.917682573404118,-18.811751823382345,-37.555510601946246,-13.459466620280091,5.7772883746340415,11.207113721463793,-5.196435379176664,-1.16997170069834,-34.37605092915213,-63.63377489173552,-114.23275085322672,-178.03044798577017,-214.35210628079992,-247.5053679168334,-239.79790835399126,-270.09869082517986,-320.28587989353684,-300.4318263794836,-290.65438455055016,-266.78852759441276,-251.20403908943518,-239.29869568162482,-212.72846734848017,-231.4130673440554,-174.36867115989457,-156.0791601268862,-135.82235799555983,-106.34882142629279,-107.72843437301127,-93.07089783192878,-123.74568787990906,-144.01773751590392,-144.7969374955384,-181.92336490790245,-231.71077788814065,-277.2707441320469,-294.16724836536355,-324.03725840435305,-342.82247133774007,-317.9819432136778,-281.4877345627103,-262.98548733437934,-272.66476225217974,-237.5898414753741,-216.53866846496237,-164.10222163679782,-97.65268099492394,-46.00748881609412,-82.07962107732091,-75.85594176550882,5.22640757004528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0888584833562,26.9300848881508,34.8506980905481,41.187188652466,46.8900301581921,49.1078018548633,49.7414509110551,53.8601697763017,57.9788886415483,61.4639584506031,62.4144320348908,64.6322037315621,63.9985546753703,68.4340980687128,70.651869765384,73.503290518247,76.9883603273018,81.1070791925484,83.9584999454115,85.5426225858909,85.5426225858909,87.1267452263704,93.4632357882882,96.3146565411513,97.5819546535348,99.799726350206,100.116550878302,100.116550878302,100.116550878302,100.116550878302,100.116550878302,98.5324282378225,96.948305597343,94.4137093725759,89.6613414511375,87.1267452263704,85.5426225858909,85.5426225858909,83.9584999454115,83.6416754173156,84.5921490016033,84.9089735296992,84.5921490016033,83.6416754173156,86.8099206982745,79.8397810801649,75.0874131587265,71.6023433496717,71.9191678777676,66.5331509001374,61.1471339225072,55.4442924167812,48.1573282705756,41.187188652466,34.8506980905481,26.9300848881508,11.0888584833562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10959922314563422,-57.953458170167245,-78.24402053787448,-117.50619232937136,-105.22918955622059,-54.24736163646273,-22.972877617924436,-15.827322184614063,-37.01270752190768,-25.157126133345027,-11.767449287579803,13.688555117767482,-8.89129545052825,-10.257210557991328,-43.480248667918964,-72.8864638143973,-109.61384821966043,-175.06668966774907,-200.0078480128829,-250.43208687551603,-235.96751408321848,-276.0266534297184,-303.6313258480079,-300.48805865087184,-276.0369978389665,-274.97880220514276,-257.4003154731376,-220.75026235827306,-217.5462559738085,-205.74711421348488,-188.45906032225673,-153.80692780472046,-130.5888198852106,-107.48116410075342,-97.63198510308358,-108.29598629941108,-101.79218016139774,-159.77579986477167,-149.48242594360525,-189.89044085657812,-241.06836380526462,-285.2423388429056,-288.9200559406067,-312.5919020991518,-335.6099720363559,-316.73654499738194,-293.0317012553211,-245.5267980858536,-248.31736900944887,-224.86710492539416,-227.24700642914675,-180.71197741779702,-102.2465400618361,-69.86779981550947,-81.66318299544021,-63.0822018565159,-11.857469378334592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51182311984781,26.9501655062354,34.8766847727753,41.2179001860071,47.559115599239,49.144419452547,49.7785409938702,55.4856348657788,56.4368171777636,61.5097895083491,64.0462756736419,64.6803972149651,62.4609718203339,68.4851264629042,70.7045518575354,73.5580987934897,77.0457672707672,81.1675572893679,84.0211042253223,84.0211042253223,87.1917119319382,88.142894243923,92.2646842625237,97.6547173637708,98.288838905094,100.191203529064,100.508264299725,100.191203529063,100.191203529063,100.191203529063,99.8741427584019,98.2888389050939,96.3864742811244,93.2158665745084,87.8258334732614,86.2405296199534,87.1917119319382,84.0211042253223,84.0211042253223,83.7040434546607,84.6552257666455,84.9722865373071,84.6552257666455,83.7040434546607,85.2893473079687,79.8993142067216,76.7287065001057,71.6557341695202,70.3874910868738,68.1680656922426,61.1927287376875,55.4856348657789,47.559115599239,41.2179001860071,34.8766847727753,26.9501655062354,9.51182311984781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.99576940756709,-60.388133945771244,-73.44970597300562,-123.94494815720572,-99.66286245947512,-47.64832827547063,-31.493423291282802,-17.074474162257932,-24.55787801995428,-35.60161638016756,-8.931204848095925,7.258042529549114,14.285265020134005,-16.96941994165408,-35.37315183803961,-60.42386874423241,-103.61559888319869,-161.4867743407221,-210.8691879772114,-215.3415058905688,-253.17146409651525,-259.1678673269001,-304.87185650821016,-306.9640023348452,-276.9691507554381,-276.27703918970593,-262.3599567138709,-247.98462876270872,-223.94236554040762,-199.13563626852468,-193.0567322968593,-164.7645123952991,-113.7480558828251,-109.69463621482096,-103.9865648517295,-121.47324359864403,-124.19891975427005,-131.6940452341742,-162.06422398052544,-188.13134576693676,-244.6846711005589,-283.8579180402107,-304.8439279819694,-321.34591089917456,-329.0270249211002,-334.8397353367673,-290.04264867257615,-252.90975377073119,-222.59857180444942,-234.94977436793087,-219.04889003441582,-182.0821937464333,-87.96092897701982,-69.28766213350654,-70.4994545375974,-55.96275679265885,-20.669889383638136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52176011778874,26.9783203337348,34.9131204318921,42.8479205300493,49.1957606085752,47.6088005889437,51.4175046360592,53.9566406674695,57.4479527106587,62.8436167774057,66.0175368166686,61.8914407656268,62.5262247734794,65.7001448127423,70.778416875563,73.6349449108996,77.1262569540888,81.2523530051306,84.1088810404672,84.1088810404672,87.2828010797301,89.1871531032879,92.6784651464771,98.7089132210766,99.0263052250029,100.295873240708,100.613265244634,100.295873240708,100.295873240708,100.295873240708,99.9784812367817,98.3915212171503,95.85238518574,92.3610731425508,87.600193083656393,85.3784490561723,87.2828010797301,84.1088810404672,84.1088810404672,83.7914890365409,84.7436650483198,85.0610570522461,84.7436650483198,88.5523690954353,85.3784490561724,82.2045290169095,73.6349449108996,70.4610248716367,66.3349288205949,66.6523208245212,62.8436167774057,53.9566406674695,49.1957606085752,42.8479205300493,34.9131204318921,26.9783203337348,9.52176011778874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.422898386422458,-73.99370141779802,-52.98291007149132,-142.70302934826782,-95.79982584335237,-55.84711853468484,-32.40238755861459,-49.63563179404812,-24.704455723965662,-49.38287716056285,-13.481487809411876,-12.843547820693432,13.063273074038529,-6.337644311226366,-38.50747831259875,-74.50019546773677,-99.84401809340746,-150.88246915970302,-207.10507304497034,-214.42796622369673,-259.12231662093075,-241.38813417987046,-310.45743097925515,-299.52258238384195,-282.4397141608341,-266.5034356926965,-271.77310355177616,-259.22235829987244,-209.37594373899944,-212.68510545187021,-185.91028567197645,-160.6825717282425,-133.636338804849,-100.24264854951595,-99.80985897870154,-107.43062206567541,-142.82678916232527,-129.38376873807746,-164.39823102466795,-192.31423813645097,-247.0562156609188,-288.81189551653904,-301.9572224372609,-319.20344993200064,-299.1230666894547,-322.7170664921914,-262.8627861482816,-243.33743087355353,-219.9187676249265,-246.68994936265764,-210.03706525547886,-174.09619905157612,-99.79838592749418,-89.27897328723192,-57.462726115037555,-80.71342548311746,-22.10225453883448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53456171167995,27.0145915164265,36.5491532281064,41.3164340839464,46.0837149397864,47.6728085583997,51.4866332430717,54.029183032853,57.5251889938023,62.9281072970876,66.1062945343143,61.9746511259196,64.1993821919783,64.1993821919783,70.8735753901543,73.7339439036582,77.2299498646075,81.3615932730022,82.6328681678928,85.8110554051195,85.8110554051195,89.3070613660688,93.4387047744634,97.5703481828581,99.4772605251941,100.430716696362,101.38417286753,100.748535420085,100.430716696362,100.112897972639,99.477260525194,98.523804354026,95.6634358405221,90.5783362609594,87.0823303000101,85.4932366813968,85.8110554051195,85.8110554051195,82.6328681678928,83.9041430627835,84.8575992339515,85.1754179576742,84.8575992339515,87.0823303000102,87.0823303000102,82.3150494441702,73.7339439036583,70.5557566664316,66.424113258037,66.7419319817596,62.9281072970876,54.029183032853,46.0837149397864,41.3164340839464,36.5491532281064,27.0145915164265,9.53456171167995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.39197566096409,-60.40396235156053,-65.0536357759862,-143.062955889157,-81.87813724364563,-59.69666347760884,-52.39722805566356,-46.03062425414487,-41.166348390829114,-48.30435274768896,-56.527242821189084,-22.054204521611055,-29.921364205666624,-10.271084115650364,-45.450272721095324,-79.20865096466429,-109.92594514128655,-147.5242125856917,-179.21496175243493,-219.5775062688304,-253.7392924621511,-261.9016594004169,-276.9771986203138,-283.88678131380243,-285.1068337668196,-283.62957524907836,-283.47540550159266,-251.33227177731766,-217.82785785443903,-189.97734803858881,-190.90280487592082,-161.74514331197767,-130.7864630070143,-101.50907686479731,-106.82541769289286,-116.20169503334054,-127.30305451170912,-146.60966280100118,-153.92390311521055,-211.75925482026423,-239.82748735091732,-286.3726238924463,-297.00439090910027,-294.06226356279,-287.39486176796214,-289.93004749808296,-251.4102314578234,-216.37609124400987,-200.38412964991045,-206.05407556112286,-204.13259711694198,-159.2228076203789,-100.36247228063927,-87.21760571893263,-73.93931951960158,-73.73248796698375,0.29208255830983076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55024711956018,28.6507413586805,35.0175727717207,41.3844041847608,46.1595277445409,47.7512355978009,53.163042298885,54.118067010841,59.2115321412731,61.4399231358372,66.2150466956173,62.0766062771412,63.6683141304012,64.3049972717052,70.9901702553974,73.8552443912654,77.3570016684375,80.8587589456095,82.7688083695216,85.9522240760416,86.5889072173456,89.7723229238657,93.5924217716898,97.7308621901659,100.595936326034,100.914277896686,101.55096103799,100.914277896686,100.595936326034,100.277594755382,99.6409116140778,98.3675453314698,94.8657880542978,90.7273476358217,87.2255903586496,85.3155409347376,85.3155409347376,85.9522240760416,82.7688083695216,84.6788577934336,84.9971993640856,85.3155409347376,84.9971993640856,87.2255903586497,84.0421746521296,82.4504667988696,73.8552443912654,69.0801208314853,68.1250961195293,66.8517298369213,64.6233388423572,54.118067010841,46.1595277445409,41.3844041847608,35.0175727717207,28.6507413586805,9.55024711956018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.74055659308212,-52.377881253825734,-75.66456862332114,-133.8351989742965,-91.45461257271539,-75.39948544835164,-73.60886153309546,-50.162825952709554,-44.07497742137874,-58.91488803837033,-79.59909706298949,-32.459067415416534,-53.93734432123011,-32.56047244197766,-66.02493685666589,-82.45853686682527,-120.70326603458221,-153.64232694323584,-167.7693763743684,-205.90565937392128,-238.20603026845043,-282.7153671772481,-254.04412964670288,-296.4712819801993,-288.5629900558353,-286.18186620774344,-286.5912298796445,-258.7297410331671,-235.58262038730203,-189.17229085299826,-187.28886774547072,-152.43897124450814,-125.43374013453203,-121.14795563968335,-93.56899664269946,-127.8485966864073,-127.56977965686679,-141.8062233573886,-166.50732925971883,-205.52922462040203,-234.9590227240546,-278.9558071335031,-304.40841511242144,-292.170565390932,-264.21545693164944,-256.1097402657784,-245.77239208454964,-216.9067633686721,-175.10967474235926,-181.5042084772002,-204.063627435461,-144.42812879760672,-100.73624582888934,-78.9214378932892,-81.1691382518382,-60.634735696601474,-30.006550292892246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97403331099613,30.3013265817853,33.4909399061837,41.4649732171799,46.2493932037775,51.0338131903752,51.6717358552549,52.6286198525744,59.0078465013714,61.5595371608901,65.0681118177284,64.1112278204089,63.792266487969,64.4301891528487,68.2577251421269,75.5938357882433,77.5076037828824,79.4213717775214,84.5247530965589,84.5247530965589,87.7143664209574,88.3522890858371,93.7746317373145,97.9211290590325,100.153858386111,101.110742383431,101.748665048311,101.110742383431,100.791781050991,100.472819718551,99.8348970536715,98.5590517239121,92.498786407555,90.9039797453558,87.3954050885175,83.8868304316792,84.5247530965589,84.5247530965589,84.5247530965589,83.2489077667996,85.1626757614386,87.0764437560777,89.9470957480363,87.3954050885176,84.2057917641191,79.4213717775215,75.2748744558035,69.2146091394464,65.3870731501682,65.3870731501682,63.1543438230893,57.4130398391721,46.2493932037775,41.4649732171799,33.4909399061837,30.3013265817853,7.97403331099613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.502563791843414,-56.61484036813311,-93.11024348811826,-130.8551706243057,-107.1738773518287,-64.99476634092589,-68.6880849958561,-54.80541042040244,-63.700173111959764,-42.078246944448516,-64.20882770950118,-37.819254196393985,-35.616005493655706,-34.74460647755725,-47.39630891092619,-74.59877863054264,-130.50836204324784,-147.99703957339864,-168.895919871786,-207.64420691061702,-234.23250473263917,-268.89972610750476,-268.3227969562386,-286.1525440594474,-302.5143896136816,-280.51077797464984,-284.57334039518963,-259.6807676945877,-209.21973747803693,-200.42692438110572,-172.87112284193623,-153.2155820705271,-127.50825055192772,-111.82711440150058,-90.98976961179658,-107.39101347926032,-124.44253271535686,-158.1929444072177,-174.2534969698553,-216.70174157206762,-248.45737729186965,-276.43616551540356,-306.7717164907859,-298.3873566090949,-260.21071107171684,-250.60635542820452,-255.40574802986984,-219.37592743617478,-211.30063475887488,-170.38667947296878,-208.2402132283678,-139.60104157310124,-114.1962097892675,-58.71462444786279,-89.59756425823566,-51.34582152330922,-8.208186487254205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59036840543061,27.1727104820534,33.5662894190071,43.1566578244377,47.951842027153,50.1895946550869,50.1895946550869,55.3044578046499,59.1406051668221,63.2964314758421,62.6570735821467,64.2554683163851,63.9357893695374,64.5751472632328,66.8128998911666,74.1655156686634,77.681984083988,79.6000577650741,84.714920914637,84.714920914637,88.5510682768093,89.1904261705047,94.3052893200677,98.1414366822399,100.379189310174,102.29726299126,102.29726299126,101.657905097564,101.018547203869,100.379189310174,99.7398314164783,97.8217577353922,92.7068945858292,91.1084998515908,87.2723524894185,83.4362051272463,84.0755630209416,84.714920914637,84.714920914637,83.4362051272463,85.3542788083325,85.6739577551802,88.5510682768093,87.5920314362663,84.3952419677894,79.6000577650741,78.0016630308357,70.9687262001865,65.5341841037759,62.9767525289944,61.6980367416036,55.3044578046499,47.951842027153,43.1566578244377,33.5662894190071,27.1727104820534,9.59036840543061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55590013977703,-64.3273630586591,-76.60520691525129,-133.46629720688665,-101.18678663423707,-91.21056745797762,-43.603267531438746,-82.67860559739756,-64.16234937752982,-58.08042689537015,-57.19507508638436,-70.8163287475422,-69.45024735699347,-53.051786356393286,-38.14402578052183,-88.20894506305468,-120.11316313147901,-139.75804561960092,-165.11281250133115,-198.98329078098502,-233.34750749850525,-257.144433393732,-274.423735444238,-255.80297950080814,-298.10856261223256,-299.0148510512572,-283.6329418826811,-262.82366950604995,-230.65448047534477,-205.84643237046714,-164.2451975250153,-158.84122867329188,-120.65014491841588,-93.73453177023204,-121.85933857428948,-97.90887543979326,-131.80567705740268,-169.8291201480196,-187.2591856033487,-220.37464251269932,-239.1217708713593,-288.2295897427547,-285.62090945830295,-290.90357730809853,-263.73700179106726,-226.3582056738079,-221.3309526989549,-206.69037872286944,-189.95036077457772,-173.69626569016395,-177.1948353187201,-148.46634619983203,-110.43536832339265,-64.3337797102788,-83.28507490491401,-74.34716504315327,-17.82363782404279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61486515483023,25.6396404128806,35.2545055677108,43.266893196736,46.4718482483461,48.7153167844731,50.3177943102782,57.0481999186593,60.8941459805914,64.0991010322015,59.6121639599474,64.4195965373625,64.0991010322015,65.7015785580066,66.9835605786506,72.7524796715487,77.8804077541248,81.4058583108959,84.931308867667,85.572299877989,87.174777403794,89.7387414450821,92.9436964966922,98.7126155895903,100.635588620556,101.597075136039,102.558561651522,102.238066146361,101.276579630878,100.315093115395,99.9945976102343,95.8281560431412,92.9436964966921,91.0207234657261,85.8927953831499,83.3288313418619,82.6878403315399,84.290317857345,84.931308867667,85.251804372828,85.572299877989,88.1362639192771,88.7772549295991,86.213290888311107,84.610813362506,79.8033807850909,74.9959482076758,70.5090111354217,67.3040560838116,64.7400920425235,61.8556324960744,53.8432448670493,46.4718482483461,43.266893196736,35.2545055677108,25.6396404128806,9.61486515483023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
