X..0.707..0.692.,X..0.692..0.677.,X..0.677..0.661.,X..0.661..0.646.,X..0.646..0.631.,X..0.631..0.616.,X..0.616..0.601.,X..0.601..0.585.,X..0.585..0.57.,X..0.57..0.555.,X..0.555..0.54.,X..0.54..0.525.,X..0.525..0.509.,X..0.509..0.494.,X..0.494..0.479.,X..0.479..0.464.,X..0.464..0.449.,X..0.449..0.433.,X..0.433..0.418.,X..0.418..0.403.,X..0.403..0.388.,X..0.388..0.373.,X..0.373..0.357.,X..0.357..0.342.,X..0.342..0.327.,X..0.327..0.312.,X..0.312..0.297.,X..0.297..0.281.,X..0.281..0.266.,X..0.266..0.251.,X..0.251..0.236.,X..0.236..0.22.,X..0.22..0.205.,X..0.205..0.19.,X..0.19..0.175.,X..0.175..0.16.,X..0.16..0.144.,X..0.144..0.129.,X..0.129..0.114.,X..0.114..0.0988.,X..0.0988..0.0836.,X..0.0836..0.0684.,X..0.0684..0.0532.,X..0.0532..0.038.,X..0.038..0.0228.,X..0.0228..0.0076.,X..0.0076.0.0076.,X.0.0076.0.0228.,X.0.0228.0.038.,X.0.038.0.0532.,X.0.0532.0.0684.,X.0.0684.0.0836.,X.0.0836.0.0988.,X.0.0988.0.114.,X.0.114.0.129.,X.0.129.0.144.,X.0.144.0.16.,X.0.16.0.175.,X.0.175.0.19.,X.0.19.0.205.,X.0.205.0.22.,X.0.22.0.236.,X.0.236.0.251.,X.0.251.0.266.,X.0.266.0.281.,X.0.281.0.297.,X.0.297.0.312.,X.0.312.0.327.,X.0.327.0.342.,X.0.342.0.357.,X.0.357.0.373.,X.0.373.0.388.,X.0.388.0.403.,X.0.403.0.418.,X.0.418.0.433.,X.0.433.0.449.,X.0.449.0.464.,X.0.464.0.479.,X.0.479.0.494.,X.0.494.0.509.,X.0.509.0.525.,X.0.525.0.54.,X.0.54.0.555.,X.0.555.0.57.,X.0.57.0.585.,X.0.585.0.601.,X.0.601.0.616.,X.0.616.0.631.,X.0.631.0.646.,X.0.646.0.661.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.060012339088494,2.7066748927256623,1.3533374463628312,304.50092543163703,1104.3233562320702,1598.2915241545036,1989.4060461533618,2234.360123945034,2461.72081493399,2725.6216169747418,2869.075386289202,3042.3025794236446,3120.796151312689,3545.744109470618,3737.9180268541395,3743.331376639591,3384.6969533534407,3717.617965158697,3712.204615373246,3633.7110434842016,3746.038051532317,3706.7912655877944,3775.811475352299,3865.1317468122456,3931.4452816840244,4051.8923144103164,4398.346700679202,4402.406713018289,4401.053375571927,4595.933967848175,4571.573893813644,4526.9137580836705,4479.546947460971,4587.813943169997,4628.414066560883,4647.360790809962,4426.76678705282,4317.1464538974315,4122.265861621184,3999.112154002166,3842.125010224078,4045.1256271785023,3921.971919559485,3844.8316851168033,3664.8378047505466,3640.4777307160157,3551.157459256069,3319.7367559280246,3160.0429372572107,2896.142135216459,2748.62835356291,2712.0882425111135,2710.734905064751,2578.1078353211933,2472.5475145048927,2343.9804571004233,2127.4464656823707,1982.6393589215477,1780.9920794134857,1582.0514747981497,1029.8897966821146,308.5609377707255,2.7066748927256623,1.3533374463628312,4.060012339088494,2.7066748927256623,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6210448677265606,0.46578365079492046,0.15526121693164016,34.31272894189247,130.57468343950939,185.38189301637834,207.27372460373962,247.17585735517113,278.6938843922941,309.59086656169046,325.27224947178615,347.4746034930107,395.9161031756824,395.60558074181915,426.8130853450788,410.9764412180515,426.50256291121553,413.46062068895776,411.9080085196413,415.7895389429323,428.3656975143952,429.60778724984834,438.7681990488151,443.7365579906276,459.8837245515182,473.08092799070755,506.61735084794185,496.9911553981802,512.3620158744126,537.2038105834749,529.7512721707562,539.0669451866546,505.9963059802153,515.7777626469086,513.2935831760024,515.0014565622504,499.4753348690864,464.3862998425357,464.54156105946737,450.4127903186881,439.85502756733655,430.2288321175749,428.21043629746356,440.0102887842682,440.0102887842682,421.6894651863347,409.57909026566676,392.655617620118,353.374529736413,341.8851996834716,337.5378856093857,322.7880700008799,294.2200060854581,300.740977196587,279.9359741277472,265.9624646038996,253.85208968323167,229.9418622757591,203.85797783124355,171.2531222755991,127.46945910087658,30.431198518601473,0.15526121693164016,0.46578365079492046,0,0.15526121693164016,0,0,0,0,0,0,0,0,0,0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.17438478503520244,-0.5231543551056073,-35.05134179207569,-140.55413673837316,-202.98388978097563,-243.78992947921301,-275.17919078554945,-315.28769134364603,-332.2030154920607,-362.89473765825625,-381.72829444205814,-425.15010591582353,-432.29988210226685,-470.31576523994096,-463.6891434086033,-490.54440030402446,-493.6833264346581,-488.6261676686372,-476.07046314610267,-483.9177784726868,-487.0567046033204,-502.92572004152385,-514.0863462837768,-526.8164355913466,-531.3504400022618,-567.2737057195135,-577.21363846652,-588.7230342788434,-599.534890951026,-606.8590519225045,-586.9791864284914,-597.9654278857091,-595.6984256802515,-563.0884708786687,-567.4480905045488,-548.788918505782,-523.6775094607129,-507.8084940225095,-481.47639148219395,-478.3374653515603,-501.1818721911718,-491.4163242292005,-477.29115664134906,-479.3837740617715,-465.9561456140609,-442.06543006423817,-427.41710812128116,-389.40122498360705,-379.9844465917061,-374.92728782568526,-355.57057668677777,-348.42080050033445,-332.55178506213105,-328.3665502212862,-295.23344106459774,-289.12997358836566,-265.2392580385429,-242.918005554037,-188.33556783801865,-153.63299561601335,-35.9232657172517,-0.17438478503520244,-0,-0.17438478503520244,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1.1042930314149029,-0,-0,-2.2085860628298057,-3.3128790942447086,-1.1042930314149029,-248.46593206835314,-992.7594352419977,-1237.912488216106,-1531.6544345724703,-1740.365817509887,-1996.5618007981443,-2200.8560116099015,-2331.16258931686,-2654.7204475214266,-2834.720211642056,-2826.9901604221513,-2705.517926966512,-3005.8856315113658,-3014.719975762685,-3103.063418275877,-3023.554320014004,-3012.511389699855,-3084.2904367418237,-3092.020487961728,-3199.1369120089735,-3203.5540841346333,-3359.2594015641344,-3485.1488071454332,-3575.7008357214554,-3810.91525141283,-3775.577874407553,-3847.3569214495215,-3797.663735035851,-3803.1852001929255,-3711.5288785854887,-3596.682403318339,-3607.7253336324875,-3520.4861841507104,-3444.289964983082,-3198.0326189775587,-3159.382362878037,-3125.149278904175,-3068.830334302015,-3171.529586223601,-3009.1985106056104,-3124.04498587276,-3054.4745248936215,-2801.5914206996085,-2755.2111133801827,-2669.0762569298204,-2452.6348227724993,-2515.5795255631488,-2437.1747203326904,-2300.242384437243,-2143.4327739763266,-2168.8315136988695,-2009.8133171751233,-1944.660028321644,-1796.6847621120469,-1653.1266680281096,-1432.268061745129,-1198.1579390851696,-943.066248828327,-249.57022509976804,-1.1042930314149029,-0,-1.1042930314149029,-1.1042930314149029,-0,-2.2085860628298057,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.6998424305332835,-0.6998424305332835,-1.399684861066567,-0.6998424305332835,-2.0995272915998506,-3.4992121526664177,-181.9590319386537,-541.6780412327614,-777.5249403224781,-943.3875963588662,-1149.8411133661848,-1232.4225201691124,-1429.078243148965,-1520.0577591182919,-1656.5270330722822,-1781.0989857072066,-1691.5191545989462,-1805.5934707758715,-1793.6961494568056,-1832.1874831361363,-1994.5509270198581,-2000.1496664641243,-1940.6630598687952,-1895.873144314665,-1908.4703080642641,-2035.8416304213217,-2071.5335943785194,-2170.9112195142457,-2241.595304998107,-2364.067730341432,-2487.23999811529,-2452.9477190191587,-2438.9508704084933,-2428.453233950494,-2514.5338529060878,-2406.758118603962,-2373.8655243688977,-2309.4800207598355,-2212.9017653462424,-2082.0312308365187,-2079.9317035449185,-2064.5351700731862,-1866.4797622322671,-1902.871568619998,-1990.3518724366584,-2033.742103129722,-1987.5525027145252,-1895.873144314665,-1818.890476956004,-1728.6108034172103,-1620.1352266845513,-1632.0325480036172,-1543.1525593258903,-1562.0483049502889,-1502.5616983549598,-1402.4842307887002,-1342.2977817628378,-1172.23607114325,-1242.2203141965783,-1130.9453677417862,-1062.3608095495244,-939.8883842061998,-784.5233646278109,-583.6685870647585,-158.86423173105536,-0.6998424305332835,-2.0995272915998506,-0.6998424305332835,-0.6998424305332835,-0.6998424305332835,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-1.2883146872891387,-0,-0,-0,-0,-2.5766293745782773,-2.5766293745782773,-3.864944061867416,-300.17732213836933,-1012.615344209263,-1424.8760441417874,-1633.5830234826278,-2084.4931640338264,-2320.2547518077386,-2540.5565633341816,-2866.5001792183334,-3134.4696341744743,-3133.181319487185,-3103.550081679535,-3322.5635785186887,-3383.1143688212783,-3486.179543804409,-3526.1172991103726,-3688.444949708804,-3631.759103468082,-3542.8653900451313,-3527.4056137976618,-3763.167201571574,-3815.9881037504288,-3958.991034039523,-4193.464307126146,-4239.843635868556,-4543.885902068792,-4612.166580495116,-4447.262300522107,-4515.5429789484315,-4400.882971779698,-4484.623426453491,-4359.656901786445,-4131.625202136268,-4000.2171040327758,-3889.4220409259096,-3813.4114743758505,-3666.5436000248887,-3533.8471872341074,-3412.7456066289283,-3550.595278168866,-3586.668089412962,-3549.306963481577,-3455.25999130947,-3380.5377394467,-3209.1918860372443,-3093.243564181222,-3137.0462635490526,-2970.853668888754,-2789.201297980985,-2786.624668606407,-2512.2136402138203,-2424.608241478159,-2340.867786804365,-2280.3169965017755,-2063.8801290372003,-1944.0668631193103,-1722.4767369055785,-1502.1749253791356,-1102.7973723195028,-319.5020424477064,-0,-1.2883146872891387,-0,-1.2883146872891387,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0.45855631969487093,-0,-0,-0.45855631969487093,-0.9171126393897419,-0,-0.45855631969487093,-0.9171126393897419,-2.7513379181692255,-132.98133271151258,-348.044246648407,-517.7100849355093,-624.0951511047193,-690.1272611407808,-813.478911138701,-918.9468646685214,-1062.474992733016,-1084.4856960783698,-1093.1982661525724,-1113.3747442191466,-1163.3573830658875,-1177.5726289764286,-1257.819984923031,-1286.250476744113,-1272.0352308335719,-1269.7424492350976,-1268.366780276013,-1256.9028722836413,-1350.4483615013949,-1387.1328670769847,-1446.286632317623,-1455.4577587115202,-1521.4898687475818,-1628.7920475561816,-1654.0126451393994,-1645.7586313848917,-1661.3495462545175,-1613.2011326865559,-1545.334797371715,-1567.345500717069,-1489.8494826886356,-1409.1435704223384,-1397.2211061102716,-1316.5151938439744,-1294.9630468183154,-1264.698329718454,-1247.7317458897437,-1264.698329718454,-1261.029879160895,-1267.4496676366232,-1237.1849505367618,-1116.1260821373157,-1092.2811535131825,-1106.4963994237235,-1077.6073512829466,-1055.596647937593,-1047.3426341830852,-989.1059815818365,-893.7262670853034,-845.577853517342,-783.2141940388395,-749.7395827011139,-720.8505345603371,-675.9120152302397,-593.8304340048578,-525.964098690017,-349.41991560749165,-133.43988903120743,-0.45855631969487093,-0,-0,-0,-0.45855631969487093,-0,-0,-0.45855631969487093,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1.1009355645576808,-1.1009355645576808,-1.1009355645576808,-3.3028066936730425,-2.2018711291153616,-4.403742258230723,-320.3722492862851,-853.2250625322026,-1144.9729871399882,-1477.4555276364076,-1717.459480709982,-2078.5663458849012,-2333.9833968622834,-2553.0695742092616,-2619.1257080827227,-2535.454605176339,-2612.5200946953764,-2858.028725591739,-2895.4605347867005,-2884.4511791411237,-2943.9016996272385,-3072.711160680487,-3231.245881976793,-3211.429041814755,-3116.7485832627945,-3251.0627221388313,-3428.3133480326183,-3417.3039923870415,-3542.810646746617,-3729.9696927214227,-3833.4576357898445,-3800.4295688531142,-3943.5511922456126,-3910.5231253088823,-3953.459612326632,-3703.547239172038,-3704.648174736596,-3476.754512873156,-3503.1769664225403,-3390.881538837657,-3194.9150083463896,-3061.70180503491,-2949.406377450027,-2817.2941097031053,-2843.71656325249,-3018.765318017161,-2954.9110552728152,-2855.826854462624,-2735.824877925837,-2667.5668729232607,-2734.723942361279,-2626.8322570346263,-2544.2620896928006,-2505.7293449332815,-2352.699301459764,-2207.37580693815,-2119.3009617735356,-1926.6372379759414,-1852.8745551505767,-1847.3698773277883,-1682.2295426441362,-1529.1994991706188,-1279.287126016025,-837.8119646283951,-314.8675714634967,-3.3028066936730425,-0,-1.1009355645576808,-0,-0,-1.1009355645576808,-0,-0,-0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0.7215601073399894,0,0,0,0,2.164680322019968,0.7215601073399894,1.4431202146799789,4.329360644039936,209.97399123593692,546.942561363712,791.5514377519684,993.5882678071655,1115.5319259476237,1351.4820810478002,1510.2253046625979,1601.8634382947766,1591.7615967920167,1676.1841293507955,1779.367224700414,1865.9544375812127,1811.1158694233734,1922.9576860610719,1918.6283254170319,2026.8623415180302,2101.1830325740493,2154.5784805172084,2185.605565132828,2191.378045991548,2221.6835704998275,2273.635898228307,2357.3368706797455,2439.5947229165045,2456.912165492664,2497.3195315037033,2624.314110395542,2631.5297114689415,2623.5925502882014,2457.633725600004,2382.591474436645,2241.887253505347,2297.447381770526,2213.7464093190874,2147.3628794438087,2066.54814742173,1902.7540030555522,1924.4008062757518,1891.9306014454523,1987.8980957216709,1849.3585551123929,1818.3314704967734,1837.8135933949532,1881.1071998353525,1804.6218284573135,1667.5254080627155,1671.1332085994154,1712.2621347177949,1531.1505477754577,1466.9316982221985,1406.3206492056395,1223.765942048622,1176.1429749641827,1148.0021307779232,1101.8222839081639,989.2589071631255,796.6023585033483,489.93931288385284,205.644630591897,3.6078005366999473,0,0.7215601073399894,1.4431202146799789,0,0.7215601073399894,0.7215601073399894,0.7215601073399894,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.2990208078812084,0,0,0.8970624236436251,0,0.2990208078812084,2.093145655168459,84.92190943826319,241.30979196013516,314.5698898910312,391.717258324383,484.11468795967636,531.9580172206697,626.1495717032503,655.1545900677276,684.458629240086,714.3607100282069,743.365728392684,743.6647492005652,738.5813954665847,785.2286414960532,823.5033049048479,838.4543452989083,841.4445533777204,849.2190943826319,882.4104040574459,933.8419830130138,954.1753979489359,926.0674420081024,922.7782131214091,987.6657284316312,1047.1708691999918,1057.6365974758342,1075.8768667565878,1073.7837211014194,1078.5680540275187,1018.1658508355146,976.9009793479078,931.4498165499641,919.788005042597,944.6067320967372,896.1653612199815,829.483721062472,800.1796818901137,804.3659732004505,794.7973073482519,765.4932681758935,727.51762557498,755.6255815158136,766.390330599537,768.4834762547056,751.1402693975955,691.0370870134726,666.8164015750947,665.3212975356887,667.4144431908571,641.399632905192,582.7915545604751,537.9384333782939,507.73733178229185,453.31554474791193,461.68812736858575,406.070257102681,336.39840886635943,231.7411261079365,88.51015913283769,2.093145655168459,0.8970624236436251,0.2990208078812084,0.2990208078812084,0.2990208078812084,0.5980416157624168,0.8970624236436251,0,0.2990208078812084,0,0,0,0,0
