0,0,0,11839,135867,130750,218345,156965,135309,11690,0,0,0
0,0,0,22869,128734,124619,204370,166883,129668,22904,0,0,0
0,0,4,37866,116925,132348,169902,186737,117962,38126,4,0,0
0,0,245,53885,113437,124741,154496,178165,120528,53969,261,0,0
0,0,1839,66184,117628,108865,146415,156114,133940,66132,1739,0,0
0,0,4379,77306,115535,109380,124680,147909,138528,77435,4346,0,0
0,0,6231,85938,116922,105436,109568,136323,145219,87485,6206,0,0
0,0,6024,86258,128990,99882,101558,129084,156579,87366,6126,0,0
0,0,5987,86028,130774,98838,99768,127896,155859,87348,6022,0,0
0,0,6311,86594,122391,106564,104111,137769,144359,87283,6243,0,0
0,0,4525,77546,122132,113801,113357,148009,138604,77548,4349,0,0
0,0,1775,66154,125578,117750,130571,155399,133971,66663,1671,0,0
0,0,266,53974,121234,134979,138235,175711,120835,53413,256,0,0
0,0,6,38246,123513,144165,159382,178851,118196,37713,5,0,0
0,0,0,22704,134221,138367,199475,154344,128414,22668,0,0,0
0,0,0,11513,137830,146155,217695,140447,135983,11694,0,0,0
